X,Y,FID,id,modified,language,rights,rightsHolder,bibliographicCitation,institutionCode,collectionCode,basisOfRecord,catalogNumber,occurrenceRemarks,individualID,individualCount,sex,occurrenceStatus,eventDate,year,waterBody,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,footprintWKT,georeferenceRemarks,scientificNameID,scientificName,kingdom,phylum,class,order_,family,genus,subgenus,specificEpithet,infraspecificEpithet,scientificNameAuthorship
18698223.55,-2150556.707,1818,1683,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark S20 - 205),NIWA,MBIS White shark tagging,Occurrence,Shark S20 - 205,,Shark S20,1,,present,,,Pacific Ocean,-18.9628,167.969,WGS84,10000,POINT (167.969 -18.9628),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
18639780.82,-6047253.878,1819,1366,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 78471 - 98),NIWA,MBIS White shark tagging,Occurrence,Shark 78471 - 98,Immature female 400 cm (TL),Shark 78471,1,female,present,,2009,Pacific Ocean,-47.6405,167.444,WGS84,10000,POINT (167.444 -47.6405),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
18670393.68,-3678365.423,1820,1474,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 78473 - 12),NIWA,MBIS White shark tagging,Occurrence,Shark 78473 - 12,Immature male 280 cm (TL),Shark 78473,1,male,present,,2009,Pacific Ocean,-31.3506,167.719,WGS84,10000,POINT (167.719 -31.3506),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
18689985.91,-5937521.271,1821,1194,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 78475 - 32),NIWA,MBIS White shark tagging,Occurrence,Shark 78475 - 32,Immature female 330 cm (TL),Shark 78475,1,female,present,,2009,Pacific Ocean,-46.9721,167.895,WGS84,10000,POINT (167.895 -46.9721),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
18460445.12,-2335388.631,1822,1684,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark S20 - 206),NIWA,MBIS White shark tagging,Occurrence,Shark S20 - 206,,Shark S20,1,,present,,,Pacific Ocean,-20.5255,165.833,WGS84,10000,POINT (165.833 -20.5255),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
18646571.31,-6088690.434,1823,1367,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 78471 - 99),NIWA,MBIS White shark tagging,Occurrence,Shark 78471 - 99,Immature female 400 cm (TL),Shark 78471,1,female,present,,2009,Pacific Ocean,-47.8907,167.505,WGS84,10000,POINT (167.505 -47.8907),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
18500965.41,-3414778.585,1824,1475,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 78473 - 13),NIWA,MBIS White shark tagging,Occurrence,Shark 78473 - 13,Immature male 280 cm (TL),Shark 78473,1,male,present,,2009,Pacific Ocean,-29.307,166.197,WGS84,10000,POINT (166.197 -29.307),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
18642675.12,-5940915.249,1825,1195,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 78475 - 33),NIWA,MBIS White shark tagging,Occurrence,Shark 78475 - 33,Immature female 330 cm (TL),Shark 78475,1,female,present,,2009,Pacific Ocean,-46.9929,167.47,WGS84,10000,POINT (167.47 -46.9929),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
18460445.12,-2335388.631,1826,1685,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark S20 - 207),NIWA,MBIS White shark tagging,Occurrence,Shark S20 - 207,,Shark S20,1,,present,,,Pacific Ocean,-20.5255,165.833,WGS84,10000,POINT (165.833 -20.5255),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
18641116.65,-6092874.978,1827,1368,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 78471 - 100),NIWA,MBIS White shark tagging,Occurrence,Shark 78471 - 100,Immature female 400 cm (TL),Shark 78471,1,female,present,,2009,Pacific Ocean,-47.9159,167.456,WGS84,10000,POINT (167.456 -47.9159),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
18667499.37,-3441384.304,1828,1476,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 78473 - 14),NIWA,MBIS White shark tagging,Occurrence,Shark 78473 - 14,Immature male 280 cm (TL),Shark 78473,1,male,present,,2009,Pacific Ocean,-29.5152,167.693,WGS84,10000,POINT (167.693 -29.5152),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
18780822.61,-6005587.784,1829,1196,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 78475 - 34),NIWA,MBIS White shark tagging,Occurrence,Shark 78475 - 34,Immature female 330 cm (TL),Shark 78475,1,female,present,,2009,Pacific Ocean,-47.3877,168.711,WGS84,10000,POINT (168.711 -47.3877),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
18660263.6,-3443687.075,1830,1477,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 78473 - 15),NIWA,MBIS White shark tagging,Occurrence,Shark 78473 - 15,Immature male 280 cm (TL),Shark 78473,1,male,present,,2009,Pacific Ocean,-29.5332,167.628,WGS84,10000,POINT (167.628 -29.5332),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
18623750.81,-6064023.101,1831,1369,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 78471 - 101),NIWA,MBIS White shark tagging,Occurrence,Shark 78471 - 101,Immature female 400 cm (TL),Shark 78471,1,female,present,,2009,Pacific Ocean,-47.7419,167.3,WGS84,10000,POINT (167.3 -47.7419),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
18388866.68,-2334081.157,1832,1686,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark S20 - 208),NIWA,MBIS White shark tagging,Occurrence,Shark S20 - 208,,Shark S20,1,,present,,,Pacific Ocean,-20.5145,165.19,WGS84,10000,POINT (165.19 -20.5145),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
18744087.18,-5860225.322,1833,1197,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 78475 - 35),NIWA,MBIS White shark tagging,Occurrence,Shark 78475 - 35,Immature female 330 cm (TL),Shark 78475,1,female,present,,2009,Pacific Ocean,-46.4962,168.381,WGS84,10000,POINT (168.381 -46.4962),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
18611171.71,-6037544.62,1834,1370,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 78471 - 102),NIWA,MBIS White shark tagging,Occurrence,Shark 78471 - 102,Immature female 400 cm (TL),Shark 78471,1,female,present,,2009,Pacific Ocean,-47.5817,167.187,WGS84,10000,POINT (167.187 -47.5817),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
18388866.68,-2334081.157,1835,1687,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark S20 - 209),NIWA,MBIS White shark tagging,Occurrence,Shark S20 - 209,,Shark S20,1,,present,,,Pacific Ocean,-20.5145,165.19,WGS84,10000,POINT (165.19 -20.5145),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
18637331.79,-3691068.17,1836,1478,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 78473 - 16),NIWA,MBIS White shark tagging,Occurrence,Shark 78473 - 16,Immature male 280 cm (TL),Shark 78473,1,male,present,19/12/2009,2009,Pacific Ocean,-31.448,167.422,WGS84,10000,POINT (167.422 -31.448),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
